"tick","Resource","Service"
1.0,1,0
2.0,2,0
3.0,3,0
4.0,4,0
5.0,5,0
6.0,7,0
7.0,9,0
8.0,10,0
9.0,12,0
10.0,12,0
11.0,13,0
12.0,13,0
13.0,13,0
14.0,14,0
15.0,16,0
16.0,16,0
17.0,16,0
18.0,16,0
19.0,16,0
20.0,19,0
21.0,19,0
22.0,21,0
23.0,22,0
24.0,22,0
25.0,22,0
26.0,22,0
27.0,22,0
28.0,22,0
29.0,22,0
30.0,24,0
31.0,24,0
32.0,24,0
33.0,24,0
34.0,24,0
35.0,24,0
36.0,24,0
37.0,24,0
38.0,24,0
39.0,24,0
40.0,24,0
41.0,24,0
42.0,24,0
43.0,24,0
44.0,24,0
45.0,24,0
46.0,24,0
47.0,24,0
48.0,24,0
49.0,24,0
50.0,24,0
51.0,24,0
52.0,24,0
53.0,24,0
54.0,25,0
55.0,25,0
56.0,25,0
57.0,25,0
58.0,25,0
59.0,25,0
60.0,25,0
61.0,25,0
62.0,25,0
63.0,25,0
64.0,25,0
65.0,25,0
66.0,25,0
67.0,25,0
68.0,25,0
69.0,25,0
70.0,25,0
71.0,25,0
72.0,25,0
73.0,25,0
74.0,25,0
75.0,25,0
76.0,25,0
77.0,25,0
78.0,25,0
79.0,25,0
80.0,25,0
81.0,25,0
82.0,25,0
83.0,25,0
84.0,25,0
85.0,25,0
86.0,25,0
87.0,25,0
88.0,26,0
89.0,26,0
90.0,26,0
91.0,26,0
92.0,26,0
93.0,26,0
94.0,26,0
95.0,26,0
96.0,26,0
97.0,26,0
98.0,26,0
99.0,26,0
100.0,26,0
101.0,26,0
102.0,26,0
103.0,26,0
104.0,26,0
105.0,26,0
106.0,26,0
107.0,26,0
108.0,26,0
109.0,26,0
110.0,26,0
111.0,26,0
112.0,26,0
113.0,26,0
114.0,26,0
115.0,26,0
116.0,26,0
117.0,26,0
118.0,26,0
119.0,26,0
120.0,26,0
121.0,26,0
122.0,26,0
123.0,26,0
124.0,26,0
125.0,26,0
126.0,26,0
127.0,28,0
128.0,30,0
129.0,33,0
130.0,34,0
131.0,34,0
132.0,35,0
133.0,36,0
134.0,36,0
135.0,37,0
136.0,38,0
137.0,38,0
138.0,40,0
139.0,40,0
140.0,41,0
141.0,43,0
142.0,44,0
143.0,45,0
144.0,46,0
145.0,47,0
146.0,48,0
147.0,49,0
148.0,49,0
149.0,51,0
150.0,51,0
151.0,51,0
152.0,51,0
153.0,51,0
154.0,53,0
155.0,53,0
156.0,54,0
157.0,54,0
158.0,54,0
159.0,54,0
160.0,54,0
161.0,54,0
162.0,54,0
163.0,54,0
164.0,54,0
165.0,54,0
166.0,54,0
167.0,54,0
168.0,54,0
169.0,54,0
170.0,54,0
171.0,54,0
172.0,54,0
173.0,55,0
174.0,55,0
175.0,55,0
176.0,57,0
177.0,58,0
178.0,58,0
179.0,58,0
180.0,60,0
181.0,61,0
182.0,61,0
183.0,61,0
184.0,61,0
185.0,61,0
186.0,63,0
187.0,65,0
188.0,65,0
189.0,65,0
190.0,66,0
191.0,69,0
192.0,71,0
193.0,72,0
194.0,73,0
195.0,75,0
196.0,76,0
197.0,77,0
198.0,78,0
199.0,78,0
200.0,80,0
201.0,80,0
202.0,82,0
203.0,82,0
204.0,82,0
205.0,83,0
206.0,84,0
207.0,84,0
208.0,86,0
209.0,86,0
210.0,86,0
211.0,86,0
212.0,88,0
213.0,90,0
214.0,91,0
215.0,93,0
216.0,93,0
217.0,93,0
218.0,93,0
219.0,93,0
220.0,93,0
221.0,96,0
222.0,96,0
223.0,97,0
224.0,97,0
225.0,98,0
226.0,98,0
227.0,98,0
228.0,98,0
229.0,98,0
230.0,98,0
231.0,98,0
232.0,98,0
233.0,98,0
234.0,98,0
235.0,98,0
236.0,98,0
237.0,98,0
238.0,98,0
239.0,98,0
240.0,98,0
241.0,98,0
242.0,98,0
243.0,99,0
244.0,99,0
245.0,99,0
246.0,99,0
247.0,99,0
248.0,99,0
249.0,99,0
250.0,99,0
251.0,99,0
252.0,99,0
253.0,99,0
254.0,99,0
255.0,99,0
256.0,99,0
257.0,99,0
258.0,99,0
259.0,99,0
260.0,99,0
261.0,99,0
262.0,99,0
263.0,99,0
264.0,99,0
265.0,99,0
266.0,99,0
267.0,99,0
268.0,99,0
269.0,99,0
270.0,99,0
271.0,99,0
272.0,99,0
273.0,99,0
274.0,100,0
275.0,102,0
276.0,102,0
277.0,102,0
278.0,102,0
279.0,102,0
280.0,102,0
281.0,102,0
282.0,102,0
283.0,102,0
284.0,105,0
285.0,105,0
286.0,106,0
287.0,106,0
288.0,108,0
289.0,111,0
290.0,112,0
291.0,114,0
292.0,116,0
293.0,117,0
294.0,117,0
295.0,118,0
296.0,118,0
297.0,118,0
298.0,118,0
299.0,118,0
300.0,119,0
301.0,119,0
302.0,119,0
303.0,119,0
304.0,120,0
305.0,123,0
306.0,125,0
307.0,125,0
308.0,125,0
309.0,125,0
310.0,125,0
311.0,125,0
312.0,126,0
313.0,126,0
314.0,127,0
315.0,127,0
316.0,127,0
317.0,128,0
318.0,129,0
319.0,129,0
320.0,129,0
321.0,131,0
322.0,131,0
323.0,133,0
324.0,134,0
325.0,134,0
326.0,135,0
327.0,137,0
328.0,137,0
329.0,139,0
330.0,141,0
331.0,141,0
332.0,142,0
333.0,142,0
334.0,142,0
335.0,142,0
336.0,142,0
337.0,143,0
338.0,144,0
339.0,145,0
340.0,146,0
341.0,146,0
342.0,146,0
343.0,146,0
344.0,146,0
345.0,146,0
346.0,150,0
347.0,151,0
348.0,153,0
349.0,154,0
350.0,157,0
351.0,157,0
352.0,158,0
353.0,159,0
354.0,160,0
355.0,162,0
356.0,162,0
357.0,164,0
358.0,165,0
359.0,168,0
360.0,169,0
361.0,171,0
362.0,172,0
363.0,174,0
364.0,174,0
365.0,174,0
366.0,174,0
367.0,174,0
368.0,174,0
369.0,175,0
370.0,175,0
371.0,175,0
372.0,175,0
373.0,175,0
374.0,175,0
375.0,175,0
376.0,175,0
377.0,175,0
378.0,177,0
379.0,177,0
380.0,178,0
381.0,180,0
382.0,180,0
383.0,181,0
384.0,182,0
385.0,183,0
386.0,183,0
387.0,184,0
388.0,186,0
389.0,186,0
390.0,186,0
391.0,188,0
392.0,191,0
393.0,192,0
394.0,193,0
395.0,195,0
396.0,195,0
397.0,196,0
398.0,196,0
399.0,196,0
400.0,197,0
401.0,197,0
402.0,198,0
403.0,199,0
404.0,200,0
405.0,200,0
406.0,200,0
407.0,200,0
408.0,200,0
409.0,200,0
410.0,200,0
411.0,200,0
412.0,200,0
413.0,200,0
414.0,200,0
415.0,200,0
416.0,200,0
417.0,200,0
418.0,201,0
419.0,201,0
420.0,201,0
421.0,201,0
422.0,201,0
423.0,201,0
424.0,203,0
425.0,204,0
426.0,206,0
427.0,206,0
428.0,206,0
429.0,207,1
430.0,207,1
431.0,207,1
432.0,207,1
433.0,208,1
434.0,208,1
435.0,208,1
436.0,208,1
437.0,208,1
438.0,208,1
439.0,208,1
440.0,208,1
441.0,208,1
442.0,208,1
443.0,208,1
444.0,208,1
445.0,208,1
446.0,208,1
447.0,208,1
448.0,208,1
